Asset ID	count	Event Time	Event Date	Class Structure	Class Structure ID	Material	Nominal Size (mm)	Soil Class	Soil Description	Grant Description	Pipe Inside Diameter (mm)	Pipe Material	Pipe Shape	Construction Date (YYYYMMDD)	Pipe Lining	Date Insulated	Tapping Status	Road Name	Road Type	Pipe Length (m)	Pipe Status	Height Start of Pipe (meters above sea level)	Height End of Pipe (meters above sea level)	Latitude Start of Pipe	Lattitude End of Pipe	Longitude Start of Pipe	Longitude End of Pipe	Distribution Zone ID	Water Quality Zone ID	Description	Failure Code	Failure Description	Job Plan	Job Plan Number	Service Location Id	Formatted Address	City	Post Code	Latitude	Longitude	months_break
1026100	1	14:00:00.0000000	2005-02-23	Repair Burst Water Main	WRBRST	OPVC - MOLECULAR ORIENTED	100	EX	Moderate shrink/swell potential.	Clay.	100	OPVC - MOLECULAR ORIENTED	CIRCULAR	2004-12-07	NONE	(null)	YES	HILLSIDE	TERRACE	59.7282	INTEGRITY	168.0000	170.0100	-37.62101216	-37.62047892	145.06660522	145.06669520	1551020365	1125029149	REP BURST 0-1.5M DEEP, <100DIA	UNKN	UNKN			1624370	7 HILLSIDE TERRACE SOUTH MORANG 3752	SOUTH MORANG	3752	-37.62064200	145.06659110	1
102723	1	10:06:00.0000000	2008-02-28	Repair Burst Water Main	WRBRST	MEDIUM DENSITY POLYETHYLENE	50	EX	Moderate shrink/swell potential.	Clay.	50	MEDIUM DENSITY POLYETHYLENE	CIRCULAR	2007-06-13		(null)	YES	HERITAGE	DRIVE	45.7913	INTEGRITY	158.2650	151.6910	-37.76564486	-37.76600493	145.36681517	145.36678620	1550610088	1125029141	REP LK 1.5M DEEP NON MS 100DIA	UNKN	UNKN			1643364	30 HERITAGE DRIVE LILYDALE 3140	LILYDALE	3140	-37.76577387	145.36659880	3
1029365	1	23:18:00.0000000	2006-04-08	Repair Burst Water Main	WRBRST	UPVC-THICK WALLED PRESSURE PIPE(INCL BLUE BRUTE)	225	EX	Moderate shrink/swell potential.	Clay.	225	UPVC-THICK WALLED PRESSURE PIPE(INCL BLUE BRUTE)	CIRCULAR	2003-12-11	NONE	(null)	YES	BROWNLOW	DRIVE	90.4771	INTEGRITY	102.1920	110.5340	-37.65956767	-37.65893899	145.15920549	145.15985244	2410641	1125029154	REP LK >1.5DEEP NON MS <225DIA	UNKN	UNKN			1607791	47 BROWNLOW DRIVE DIAMOND CREEK 3089	DIAMOND CREEK	3089	-37.65891880	145.15977540	10
1029377	1	12:27:00.0000000	2001-09-19	Repair Burst Water Main	WRBRST	UPVC-THICK WALLED PRESSURE PIPE(INCL BLUE BRUTE)	100	EX	Moderate shrink/swell potential.	Clay.	100	UPVC-THICK WALLED PRESSURE PIPE(INCL BLUE BRUTE)	CIRCULAR	1999-03-17	NONE	(null)	YES	JEFFERY	DRIVE	1.3303	INTEGRITY	175.5100	175.5700	-37.62790753	-37.62789574	145.13816858	145.13816584	1550689553	1125029153	REP LK 1.5M DEEP NON MS 100DIA	UNKN	UNKN			1547356	10 JEFFREY DRIVE YARRAMBAT 3091	YARRAMBAT	3091	-37.62744037	145.13807270	10
1030801	1	11:16:00.0000000	2010-03-06	Repair Burst Water Main	WRBRST	UPVC-THICK WALLED PRESSURE PIPE(INCL BLUE BRUTE)	150	VE	Very high shrink/swell potential.	Expansive Clay.	150	UPVC-THICK WALLED PRESSURE PIPE(INCL BLUE BRUTE)	CIRCULAR	2003-12-10	NONE	(null)	YES	EPPING	ROAD	22.6123	ABANDONED	153.8200	154.0000	-37.62851903	-37.62860495	145.02813086	145.02793017	1550539587	1125029149	REPAIR LEAKING WATER MAIN	UNKN	UNKN			1474080				(null)	(null)	25
1034280	1	15:34:00.0000000	2011-12-07	Repair Burst Water Main	WRBRST	UPVC - MODIFIED	225	EX	Moderate shrink/swell potential.	Clay.	225	UPVC - MODIFIED	CIRCULAR	2005-08-27	NONE	(null)	YES	ORCHARD	ROAD	63.0000	INTEGRITY	0.0000	0.0000	-37.61249969	-37.61255304	145.13332704	145.13268269	1125029153	1125029153	REPAIR LEAKING WATER MAIN	UNKN	UNKN			1635389	33 ORCHARD ROAD DOREEN 3754	DOREEN	3754	-37.61269228	145.13313580	25
1034283	1	15:31:00.0000000	2014-05-29	Repair Burst Water Main	WRBRST	MEDIUM DENSITY POLYETHYLENE	180	EX	Moderate shrink/swell potential.	Clay.	180	MEDIUM DENSITY POLYETHYLENE	CIRCULAR	2006-11-21	NONE	(null)	YES	DUDLEY	ROAD	604.1513	INTEGRITY	99.5930	133.4780	-37.72873516	-37.72437101	145.27435193	145.27282647	1550537484	1125029140	REPAIR LEAKING WATER MAIN	UNKN	UNKN			1391305	49-53 DUDLEY ROAD WONGA PARK 3115	WONGA PARK	3115	-37.72809413	145.27311260	30
1035013	1	17:35:00.0000000	2007-03-30	Repair Burst Water Main	WRBRST	MEDIUM DENSITY POLYETHYLENE	50	EX	Moderate shrink/swell potential.	Clay.	50	MEDIUM DENSITY POLYETHYLENE	CIRCULAR	2005-12-06	NONE	(null)	YES	UNKNOWN	PLACE	46.8266	INTEGRITY	213.5689	213.7955	-37.58609484	-37.58628931	144.92125157	144.92142614	1550536322	1125029156	REP BURST 0-1.5M DEEP, <100DIA	UNKN	UNKN			1647582	4 TALLGUM PLACE CRAIGIEBURN 3064	CRAIGIEBURN	3064	-37.58621813	144.92105340	5
1035924	1	12:15:00.0000000	2006-12-18	Repair Burst Water Main	WRBRST	UPVC - MODIFIED	150	EX	Moderate shrink/swell potential.	Clay.	150	UPVC - MODIFIED	CIRCULAR	2004-11-04	NONE	(null)	YES	GRASSY FLAT	ROAD	140.2681	INTEGRITY	85.1592	83.0000	-37.66919716	-37.66795162	145.15041085	145.15067207	1550536390	1125029154	REP BURST 0-1.5M DEEP, <100DIA	UNKN	UNKN			1367790	1 GRASSY FLAT ROAD DIAMOND CREEK 3089	DIAMOND CREEK	3089	-37.66873318	145.15036480	8
1035940	1	20:17:00.0000000	2009-01-31	Repair Burst Water Main	WRBRST	UPVC - MODIFIED	100	VE	Very high shrink/swell potential.	Expansive Clay.	100	UPVC - MODIFIED	CIRCULAR	2006-05-03	NONE	(null)	YES	UNKNOWN	STREET	21.0000	INTEGRITY	175.0000	175.0000	-37.58722371	-37.58719826	145.09875016	145.09851673	1551017151	1125029153	REPAIR BURST WATER MAIN	UNKN	UNKN			1650941	25 GRIDLEY STREET MERNDA 3754	MERNDA	3754	-37.58711653	145.09865850	11
1035945	1	17:57:00.0000000	2005-01-27	Repair Burst Water Main	WRBRST	UPVC - MODIFIED	100	EX	Moderate shrink/swell potential.	Clay.	100	UPVC - MODIFIED	CIRCULAR	2003-06-03	NONE	(null)	YES	OVERLAND	DRIVE	43.4267	INTEGRITY	179.9435	180.4600	-37.59279738	-37.59292960	145.13570658	145.13524398	1125029153	1125029153	REP BURST 0-1.5M DEEP, <100DIA	UNKN	UNKN			1603815	1 BROOKWOOD AVENUE DOREEN 3754	DOREEN	3754	-37.59267636	145.13558480	7
1036635	1	10:31:00.0000000	2008-11-05	Repair Burst Water Main	WRBRST	MEDIUM DENSITY POLYETHYLENE	63	EX	Moderate shrink/swell potential.	Clay.	63	MEDIUM DENSITY POLYETHYLENE	CIRCULAR	2000-05-15	NONE	(null)	YES	KANE	COURT	34.8695	INTEGRITY	85.1400	84.5400	-37.65075890	-37.65073150	145.37756653	145.37794526	1550536199	1125029142	REPAIR LEAKING WATER MAIN	UNKN	UNKN			1582532	4 KANE COURT YARRA GLEN 3775	YARRA GLEN	3775	-37.65084233	145.37786340	34
1036838	1	19:14:00.0000000	2011-08-02	Repair Burst Water Main	WRBRST	POLYETHYLENE(SOLID WALL, HIGH DENSITY)	180	EX	Moderate shrink/swell potential.	Clay.	180	POLYETHYLENE(SOLID WALL, HIGH DENSITY)	CIRCULAR	1998-11-01	NONE	(null)	YES	MELBA	HIGHWAY	1432.1951	INTEGRITY	98.2640	68.0000	-37.70495995	-37.69236709	145.38183662	145.38446684	1550610134	1125029141	REPAIR BURST WATER MAIN	UNKN	UNKN			1390674	39 MELBA HIGHWAY YERING 3770	YERING	3770	-37.69169951	145.37888590	51
1041064	1	12:16:00.0000000	2005-08-29	Repair Burst Water Main	WRBRST	MEDIUM DENSITY POLYETHYLENE	63	VE	Very high shrink/swell potential.	Expansive Clay.	63	MEDIUM DENSITY POLYETHYLENE	CIRCULAR	2002-11-28	NONE	(null)	YES	NASH	COURT	79.5745	INTEGRITY	93.1900	93.7900	-37.69239750	-37.69192366	145.06570145	145.06510646	1551065665	1125029168	REP LK 1.5M DEEP NON MS 100DIA	UNKN	UNKN			1608028	5 REDMOND COURT BUNDOORA 3083	BUNDOORA	3083	-37.69293463	145.06648170	11
1043935	1	18:10:00.0000000	2010-02-15	Repair Burst Water Main	WRBRST	POLYETHYLENE(SOLID WALL, HIGH DENSITY)	63	EX	Moderate shrink/swell potential.	Clay.	63	POLYETHYLENE(SOLID WALL, HIGH DENSITY)	CIRCULAR	2000-06-26	NONE	(null)	YES	MYORA	COURT	52.5350	INTEGRITY	45.8880	45.3090	-37.87495882	-37.87463793	145.09302819	145.09314925	1550536288	1125029165	REPAIR LEAKING WATER MAIN	UNKN	UNKN			1275426	8 MYORA COURT CHADSTONE 3148	CHADSTONE	3148	-37.87493691	145.09319320	39
1043959	1	09:23:00.0000000	2012-01-10	Repair Burst Water Main	WRBRST	UPVC - MODIFIED	100	VE	Very high shrink/swell potential.	Expansive Clay.	100	UPVC - MODIFIED	CIRCULAR	2005-11-24	NONE	(null)	YES	JANET	CRESCENT	70.5464	INTEGRITY	94.8800	95.6194	-37.68891887	-37.68832101	145.06071529	145.06062216	1551065665	1125029168	REPAIR LEAKING WATER MAIN	UNKN	UNKN			1221648	38 JANET CRESCENT BUNDOORA 3083	BUNDOORA	3083	-37.68857831	145.06065580	25
10623	1	12:57:00.0000000	2001-11-11	Repair Burst Water Main	WRBRST	DUCTILE IRON CEMENT LINED	100	EX	Moderate shrink/swell potential.	Clay.	100	DUCTILE IRON CEMENT LINED	CIRCULAR	1998-04-07	NONE	(null)	YES	GRAEME	AVENUE	114.6176	INTEGRITY	87.6300	79.0760	-37.71271549	-37.71181138	145.12087128	145.12024296	1550536390	1125029154	REP BURST 0-1.5M DEEP, <100DIA	UNKN	UNKN			1574581	1/26 GRAEME AVENUE MONTMORENCY 3094	MONTMORENCY	3094	-37.71234136	145.12047350	14
1089	1	12:30:00.0000000	2006-06-24	Repair Burst Water Main	WRBRST	MEDIUM DENSITY POLYETHYLENE	180	EX	Moderate shrink/swell potential.	Clay.	180	MEDIUM DENSITY POLYETHYLENE	CIRCULAR	2005-09-08	NONE	(null)	YES	JUKES	ROAD	101.2476	INTEGRITY	82.9876	83.0400	-37.70164063	-37.70176594	144.96576981	144.96690705	1550536409	1125029159	REP LK 1.5M DEEP NON MS 100DIA	UNKN	UNKN			1195139	114 JUKES ROAD FAWKNER 3060	FAWKNER	3060	-37.70166092	144.96688790	3
1102106	1	13:04:00.0000000	2008-05-26	Repair Burst Water Main	WRBRST	UPVC-THICK WALLED PRESSURE PIPE(INCL BLUE BRUTE)	100	EX	Moderate shrink/swell potential.	Clay.	100	UPVC-THICK WALLED PRESSURE PIPE(INCL BLUE BRUTE)	CIRCULAR	2000-04-04	NONE	(null)	YES	KALANG	ROAD	167.9889	INTEGRITY	55.4776	45.2561	-37.84404381	-37.84383270	145.07843717	145.07654716	1550550338	1125029139	REPAIR LEAKING WATER MAIN	UNKN	UNKN			1588215	24A KALANG ROAD CAMBERWELL 3124	CAMBERWELL	3124	-37.84427628	145.07963760	32
1102992	1	13:00:00.0000000	2001-02-24	Repair Burst Water Main	WRBRST	POLYETHYLENE(SOLID WALL, HIGH DENSITY)	125	EX	Moderate shrink/swell potential.	Clay.	125	POLYETHYLENE(SOLID WALL, HIGH DENSITY)	CIRCULAR	1999-10-29	NONE	(null)	YES	RIX	STREET	81.7291	MIGRATED	16.5804	21.4200	-37.84698899	-37.84710076	145.05106761	145.05198997	1551038340	1125029139	REP BURST 0-1.5M DEEP, <100DIA	UNKN	UNKN			1024487	10 RIX STREET GLEN IRIS 3146	GLEN IRIS	3146	-37.84710510	145.05117930	5
1111413	1	18:29:00.0000000	2004-10-19	Repair Burst Water Main	WRBRST	UPVC-THICK WALLED PRESSURE PIPE(INCL BLUE BRUTE)	100	VE	Very high shrink/swell potential.	Expansive Clay.	100	UPVC-THICK WALLED PRESSURE PIPE(INCL BLUE BRUTE)	CIRCULAR	1996-07-24	NONE	(null)	YES	WEDGE	STREET	232.8028	INTEGRITY	129.9985	126.7400	-37.65139083	-37.65166797	145.02974150	145.03234937	1550539587	1125029149	REP LK 1.5M DEEP NON MS 100DIA	UNKN	UNKN			1706897	16 DAVISSON STREET EPPING 3076	EPPING	3076	-37.65118675	145.02987720	33
1117435	1	10:46:00.0000000	2011-09-26	Repair Burst Water Main	WRBRST	UPVC - MODIFIED	100	EX	Moderate shrink/swell potential.	Clay.	100	UPVC - MODIFIED	CIRCULAR	2006-05-12	NONE	(null)	YES	AILSA	AVENUE	192.2195	INTEGRITY	32.8392	32.1097	-37.87189529	-37.87195965	145.06250479	145.06042281	1551037222	1125029165	REPAIR BURST WATER MAIN	UNKN	UNKN			1082506	10 AILSA AVENUE MALVERN EAST 3145	MALVERN EAST	3145	-37.87221251	145.06159050	21
1122382	1	13:20:00.0000000	2010-04-12	Repair Burst Water Main	WRBRST	DUCTILE IRON CEMENT LINED	225	EX	Moderate shrink/swell potential.	Clay.	225	DUCTILE IRON CEMENT LINED	CIRCULAR	2002-04-18	NONE	(null)	YES	SUMMERHILL	ROAD	157.9561	INTEGRITY	42.5423	36.8100	-37.85926536	-37.85785750	145.07530390	145.07556639	1551037223	1125029165	REPAIR LEAKING WATER MAIN	UNKN	UNKN			1098197	117 SUMMERHILL ROAD GLEN IRIS 3146	GLEN IRIS	3146	-37.85866263	145.07554030	32
1122410	1	13:30:00.0000000	2004-08-24	Repair Burst Water Main	WRBRST	UPVC-THICK WALLED PRESSURE PIPE(INCL BLUE BRUTE)	100	EX	Moderate shrink/swell potential.	Clay.	100	UPVC-THICK WALLED PRESSURE PIPE(INCL BLUE BRUTE)	CIRCULAR	1999-02-19	NONE	(null)	YES	WHITBY	STREET	121.1214	INTEGRITY	49.5300	47.5498	-37.76460910	-37.76466375	144.94823024	144.94949169	1550536422	1125029157	REP BURST 0-1.5M DEEP, <100DIA	UNKN	UNKN			1010000	3 WHITBY STREET BRUNSWICK WEST 3055	BRUNSWICK WEST	3055	-37.76473554	144.94871250	22
1123076	1	13:15:00.0000000	2010-09-10	Repair Burst Water Main	WRBRST	UPVC-THICK WALLED PRESSURE PIPE(INCL BLUE BRUTE)	100	EX	Moderate shrink/swell potential.	Clay.	100	UPVC-THICK WALLED PRESSURE PIPE(INCL BLUE BRUTE)	CIRCULAR	2003-07-02	NONE	(null)	YES	THROUGH	ROAD	96.4074	INTEGRITY	62.2600	59.1900	-37.84934763	-37.84849067	145.08702488	145.08716703	1550550338	1125029139	REPAIR LEAKING WATER MAIN	UNKN	UNKN			1652476	2 THROUGH ROAD CAMBERWELL 3124	CAMBERWELL	3124	-37.84885822	145.08694960	28
1124266	1	15:19:00.0000000	2002-11-24	Repair Burst Water Main	WRBRST	UPVC-THICK WALLED PRESSURE PIPE(INCL BLUE BRUTE)	100	SE	Low shrink/swell potential.	Silty Soil.	100	UPVC-THICK WALLED PRESSURE PIPE(INCL BLUE BRUTE)	CIRCULAR	1998-09-24	NONE	(null)	YES	BATH	ROAD	71.7001	INTEGRITY	68.1110	69.1850	-37.85560751	-37.85570274	145.09029922	145.09110079	1550536288	1125029165	REP BURST 0-1.5M DEEP <150 DIA	UNKN	UNKN			1099223	76 BATH ROAD GLEN IRIS 3146	GLEN IRIS	3146	-37.85579651	145.09101590	17
1125681	1	22:19:00.0000000	2007-12-28	Repair Burst Water Main	WRBRST	UPVC-THICK WALLED PRESSURE PIPE(INCL BLUE BRUTE)	100	EX	Moderate shrink/swell potential.	Clay.	100	UPVC-THICK WALLED PRESSURE PIPE(INCL BLUE BRUTE)	CIRCULAR	2001-09-19	NONE	(null)	YES	BARKERS	PARADE	71.4665	INTEGRITY	28.8600	29.7774	-37.75367936	-37.75374179	144.94186302	144.94266746	1550536422	1125029157	REP LK 1.5M DEEP NON MS 100DIA	UNKN	UNKN			1006494	27 BAKERS PARADE BRUNSWICK WEST 3055	BRUNSWICK WEST	3055	-37.75389695	144.94266730	25
1125685	1	09:51:00.0000000	2014-02-06	Repair Burst Water Main	WRBRST	UPVC-THICK WALLED PRESSURE PIPE(INCL BLUE BRUTE)	100	EX	Moderate shrink/swell potential.	Clay.	100	UPVC-THICK WALLED PRESSURE PIPE(INCL BLUE BRUTE)	CIRCULAR	1997-07-14	NONE	(null)	YES	EVERETT	STREET	5.2032	INTEGRITY	26.9948	27.0000	-37.75493877	-37.75489249	144.94162058	144.94162699	1550536422	1125029157	REPAIR LEAKING WATER MAIN	UNKN	UNKN			1006842	45 EVERETT STREET BRUNSWICK WEST 3055	BRUNSWICK WEST	3055	-37.75481234	144.94141610	66
1127354	1	10:33:00.0000000	2001-02-22	Repair Burst Water Main	WRBRST	POLYETHYLENE(SOLID WALL, HIGH DENSITY)	50	EX	Moderate shrink/swell potential.	Clay.	50	POLYETHYLENE(SOLID WALL, HIGH DENSITY)	CIRCULAR	1997-01-29	NONE	(null)	YES	ROXBURGH PARK	DRIVE	65.2717	MIGRATED	173.8798	171.9594	-37.63420385	-37.63444788	144.92090852	144.92147360	1550536322	1125029156	REP BURST 0-1.5M DEEP, <100DIA	UNKN	UNKN			1532744	100 ROXBURGH PARK DRIVE ROXBURGH PARK 3064	ROXBURGH PARK	3064	-37.63440129	144.92157730	16
1127561	1	13:00:00.0000000	2014-07-04	Repair Burst Water Main	WRBRST	UPVC-THICK WALLED PRESSURE PIPE(INCL BLUE BRUTE)	100	EX	Moderate shrink/swell potential.	Clay.	100	UPVC-THICK WALLED PRESSURE PIPE(INCL BLUE BRUTE)	CIRCULAR	1998-10-05	NONE	(null)	YES	MCINTYRE	AVENUE	311.8161	INTEGRITY	177.1851	179.0100	-37.62655002	-37.62628782	144.93065766	144.92877874	1550536322	1125029156	REPAIR BURST WATER MAIN	UNKN	UNKN			1552445	36 MCINTYRE AVENUE ROXBURGH PARK 3064	ROXBURGH PARK	3064	-37.62692974	144.92937540	63
1128283	1	13:50:00.0000000	2006-03-24	Repair Burst Water Main	WRBRST	UPVC - MODIFIED	100	EX	Moderate shrink/swell potential.	Clay.	100	UPVC - MODIFIED	CIRCULAR	2003-05-19	NONE	(null)	YES	PLEASANT	STREET	244.5991	INTEGRITY	62.4650	68.3723	-37.72708335	-37.72741225	144.93457970	144.93732320	1550536336	1125029158	REP BURST 0-1.5M DEEP, <100DIA	UNKN	UNKN			1053420	33 PLEASANT STREET PASCOE VALE 3044	PASCOE VALE	3044	-37.72728334	144.93535970	11
1128284	1	15:30:00.0000000	2007-03-28	Repair Burst Water Main	WRBRST	MEDIUM DENSITY POLYETHYLENE	63	EX	Moderate shrink/swell potential.	Clay.	63	MEDIUM DENSITY POLYETHYLENE	CIRCULAR	2005-02-07	NONE	(null)	YES	BOTHWELL	STREET	48.3330	INTEGRITY	40.2982	43.6900	-37.72621038	-37.72609027	144.92527218	144.92579815	1551074748	1125029159	REP LK 1.5DEEP NON MS <150DIA	UNKN	UNKN			1184490	BOTHWELL STREET PASCOE VALE 3044	PASCOE VALE	3044	-37.72600985	144.92533010	8
1128296	1	12:46:00.0000000	2011-02-04	Repair Burst Water Main	WRBRST	MEDIUM DENSITY POLYETHYLENE	63	ST	Negligible shrink/swell potential.	Sand.	63	MEDIUM DENSITY POLYETHYLENE	CIRCULAR	2000-12-04	NONE	(null)	YES	MADIGAN	COURT	67.8132	INTEGRITY	159.6656	162.0247	-37.63582434	-37.63566849	144.91300140	144.91224568	1550536322	1125029156	REPAIR LEAKING WATER MAIN	UNKN	UNKN			1575230	8 MADIGAN COURT ROXBURGH PARK 3064	ROXBURGH PARK	3064	-37.63557775	144.91226180	41
1128959	1	12:55:00.0000000	2008-04-29	Repair Burst Water Main	WRBRST	UPVC - MODIFIED	100	EX	Moderate shrink/swell potential.	Clay.	100	UPVC - MODIFIED	CIRCULAR	2006-08-11	NONE	(null)	YES	HARTINGTON	STREET	128.6892	INTEGRITY	31.7938	29.9700	-37.79946382	-37.79873480	145.04358240	145.04471868	1550550338	1125029139	REPAIR BURST WATER MAIN	UNKN	UNKN			1029665	54 HARTINGTON STREET KEW 3101	KEW	3101	-37.79885595	145.04466860	7
